participantnr;r1;r2;r3;r4;r5;r6;r7;r8
4005;1;2;4;3;5;6;8;7
4006;2;3;1;4;6;7;5;8
4007;3;4;2;1;8;5;7;6
4008;4;1;3;2;7;8;6;5
4009;1;2;4;3;6;7;5;8
4010;2;3;1;4;7;8;6;5
4011;3;4;2;1;5;6;8;7
4012;4;1;3;2;8;5;7;6
4013;1;2;4;3;7;8;6;5
4014;2;3;1;4;8;5;7;6
4015;3;4;2;1;6;7;5;8
4016;4;1;3;2;5;6;8;7
4017;1;2;4;3;8;5;7;6
4018;2;3;1;4;5;6;8;7
4019;3;4;2;1;7;8;6;5
4020;4;1;3;2;6;7;5;8
4021;1;2;4;3;5;6;8;7
4022;2;3;1;4;6;7;5;8
4023;3;4;2;1;8;5;7;6
4024;4;1;3;2;7;8;6;5
4025;1;2;4;3;6;7;5;8
4026;2;3;1;4;7;8;6;5
4027;3;4;2;1;5;6;8;7
4028;4;1;3;2;8;5;7;6
4029;1;2;4;3;7;8;6;5
4030;2;3;1;4;8;5;7;6
4031;3;4;2;1;6;7;5;8
4032;4;1;3;2;5;6;8;7
4033;1;2;4;3;8;5;7;6
4034;2;3;1;4;5;6;8;7
4035;1;2;4;3;5;6;8;7
4036;2;3;1;4;6;7;5;8
4037;3;4;2;1;8;5;7;6
4038;4;1;3;2;7;8;6;5
4039;1;2;4;3;6;7;5;8
4040;2;3;1;4;7;8;6;5
4041;3;4;2;1;5;6;8;7
4042;4;1;3;2;8;5;7;6
4043;1;2;4;3;7;8;6;5
4044;2;3;1;4;8;5;7;6
4045;3;4;2;1;6;7;5;8
4046;4;1;3;2;5;6;8;7
4047;1;2;4;3;8;5;7;6
4048;2;3;1;4;5;6;8;7
4049;3;4;2;1;7;8;6;5
4050;4;1;3;2;6;7;5;8
4051;1;2;4;3;5;6;8;7
4052;2;3;1;4;6;7;5;8
4053;3;4;2;1;8;5;7;6
4054;4;1;3;2;7;8;6;5
4055;1;2;4;3;6;7;5;8
4056;2;3;1;4;7;8;6;5
4057;3;4;2;1;5;6;8;7
4058;4;1;3;2;8;5;7;6
4059;1;2;4;3;7;8;6;5
4060;2;3;1;4;8;5;7;6
4061;3;4;2;1;6;7;5;8
4062;4;1;3;2;5;6;8;7
4063;1;2;4;3;8;5;7;6
4064;2;3;1;4;5;6;8;7
4065;1;2;4;3;5;6;8;7
4066;2;3;1;4;6;7;5;8
4067;3;4;2;1;8;5;7;6
4068;4;1;3;2;7;8;6;5
4069;1;2;4;3;6;7;5;8
4070;2;3;1;4;7;8;6;5
4071;3;4;2;1;5;6;8;7
4072;4;1;3;2;8;5;7;6
4073;1;2;4;3;7;8;6;5
4074;2;3;1;4;8;5;7;6
4075;3;4;2;1;6;7;5;8
4076;4;1;3;2;5;6;8;7
4077;1;2;4;3;8;5;7;6
4078;2;3;1;4;5;6;8;7
4079;3;4;2;1;7;8;6;5
4080;4;1;3;2;6;7;5;8
4081;1;2;4;3;5;6;8;7
4082;2;3;1;4;6;7;5;8
4083;3;4;2;1;8;5;7;6
4084;4;1;3;2;7;8;6;5
4085;1;2;4;3;6;7;5;8
4086;2;3;1;4;7;8;6;5
4087;3;4;2;1;5;6;8;7
4088;4;1;3;2;8;5;7;6
4089;1;2;4;3;7;8;6;5
4090;2;3;1;4;8;5;7;6
4091;3;4;2;1;6;7;5;8
4092;4;1;3;2;5;6;8;7
4093;1;2;4;3;8;5;7;6
4094;2;3;1;4;5;6;8;7
